Test Type,Test Set,TC-ID,Summary,Action,Expected Result
Manual,GUI_Message ,TCMessage-0001,[GUI] Verify Font Size and text color in text area on send message text area,"1-App Is Installed And Open Successfully 
 2-User Should Be Login Successfully 
 3-App Should be connected with Internet",
Manual,GUI_Message ,TCMessage-0002,[GUI] Verify that user on send message Text Area is displayed In Front Of chat screen ,"1-App Is Installed And Open Successfully 
 2-User Should Be Login Successfully 
 3-App Should be connected with Internet",
Manual,GUI_Message ,TCMessage-0003,[GUI] Verify the app responsive deal with all different screen size ,"1-App Is Installed And Open Successfully 
 2-User Should Be Login Successfully 
 3-App Should be connected with Internet",
Manual,GUI_Message ,TCMessage-0004,[GUI] Verify that user send message Text Area accepted numbers & symbols & characters ,"1-App Is Installed And Open Successfully 
 2-User Should Be Login Successfully 
 3-App Should be connected with Internet",
Manual,GUI_Message ,TCMessage-0005,[GUI] Verify image resolution while sending message ,"1-App Is Installed And Open Successfully 
 2-User Should Be Login Successfully 
 3-App Should be connected with Internet",
Manual,GUI_Message ,TCMessage-0006,[GUI] Verify video resolution while sending message ,"1-App Is Installed And Open Successfully 
 2-User Should Be Login Successfully 
 3-App Should be connected with Internet",
Manual,GUI_Message ,TCMessage-0007,[GUI] Verify that text area has start with type a message  as default sentence ,"1-App Is Installed And Open Successfully 
 2-User Should Be Login Successfully 
 3-App Should be connected with Internet",
Manual,GUI_Message ,TCMessage-0008,[GUI] Verify that text area has start tryping as default sentence  and cleared while starting typing,"1-App Is Installed And Open Successfully 
 2-User Should Be Login Successfully 
 3-App Should be connected with Internet",
Manual,GUI_Message ,TCMessage-0009,[GUI] Verify that pointer toggle while user on text area ,"1-App Is Installed And Open Successfully 
 2-User Should Be Login Successfully 
 3-App Should be connected with Internet",
Manual,Positive-Message ,TCMessage-0010,send message as [ photo ] from gallery,,
Manual,Positive-Message ,TCMessage-0011,send message as  [ Video ] from gallery,,
Manual,Positive-Message ,TCMessage-0012,send message as  [ Text ],,
Manual,Positive-Message ,TCMessage-0013,send message as  [ photo ] by using mobile cam,,
Manual,Positive-Message ,TCMessage-0014,send message as  [ Video ] by using mobile cam,,
Manual,Positive-Message ,TCMessage-0015,send message as  with multiple photos/videos/Text by using mobile cam,,
Manual,Positive-Message ,TCMessage-0016,send message as  with multiple photos/videos/Text from saved on gallery,,
Manual,Positive-Message ,TCMessage-0017,send message with limitted excedded photo numbers,,
Manual,Positive-Message ,TCMessage-0018,send message as  with feeling emotions,,
Manual,Positive-Message ,TCMessage-0019,send message as  with stickers ,,
Manual,Positive-Message ,TCMessage-0020,send message as  with  Dedected Place,,
Manual,Positive-Message ,TCMessage-0021,verify delete message for me ,,
Manual,Positive-Message ,TCMessage-0022,verify delete message for everyone,,
Manual,Positive-Message ,TCMessage-0023,verify unsend message ,,
Manual,Positive-Message ,TCMessage-0024,try copy message,,
Manual,Positive-Message ,TCMessage-0025,try Paste message ,,
Manual,Positive-Message ,TCMessage-0026,Check received messages counts should be displayed on ‘Facebook Message’ icon,,
Manual,Positive-Message ,TCMessage-0027,Verify that user gets all received messages in his inbox,,
Manual,Positive-Message ,TCMessage-0028,Verify that only ‘message contacts’ will display in left hand side of message box,,
Manual,Positive-Message ,TCMessage-0029,Verify that profile picture display in left hand side of inbox is correct for each user,,
Manual,Positive-Message ,TCMessage-0030,Verify that ‘Active’ users display with green dot in message box,,
Manual,Positive-Message ,TCMessage-0031,Verify that unread messages are highlighted so that user can identify it,,
Manual,Positive-Message ,TCMessage-0032,Check received messages counts should be displayed with Inbox in ‘Messages’ page,,
Manual,Positive-Message ,TCMessage-0033,Verify that messages will get display in ‘Other’ tab of ‘User1’ if ‘sender’ is not connected with user1 on Facebook,,
Manual,Positive-Message ,TCMessage-0034,Check behavior of chat box if we change network from Wi-Fi to LAN,,
Manual,Positive-Message ,TCMessage-0035,Verify that user is able to navigate to old conversation or can view message history,,
Manual,Positive-Message ,TCMessage-0036,Verify that message get sent after clicking on enter button,,
Manual,Positive-Message ,TCMessage-0037,"Verify that the User is able to share hyperlinked URLs, Emails, or not",,
Manual,Positive-Message ,TCMessage-0038,Verify that spell functionality works fine in chat box,,
Manual,Positive-Message ,TCMessage-0039,Verify that if user types smiles in letters then it will look like their icon or not,,
Manual,Positive-Message ,TCMessage-0040,Verify that user is able to delete multiple messages at a time,,
Manual,Positive-Message ,TCMessage-0041,Verify that ‘loader’ will get display if message sending takes time due to connection issues,,
Manual,Positive-Message ,TCMessage-0042,Verify that the User is able to send messages to other offline Users.,,
Manual,Positive-Message ,TCMessage-0043,Verify that the User is able to send messages request to other user who is not in contact list,,
Manual,Positive-Message ,TCMessage-0044, Verify that blocked contacts displaying chat box or not,,
Manual,Positive-Message ,TCMessage-0045,Verify that user is able to forward messages/images/videos from one user to another,,
Manual,Positive-Message ,TCMessage-0046,Verify that user is not able to send blank message,,
Manual,Positive-Message ,TCMessage-0047,Verify that message contacts list will get display based on recent conversations,,
Manual,Positive-Message ,TCMessage-0048,Verify that scroll bar display wherever necessary,,
Manual,Positive-Message ,TCMessage-0049,Verify that all labels are display correctly,,
Manual,Positive-Message ,TCMessage-0050,"Verify that profile pictures display clearly

",,
Manual,Positive-Message ,TCMessage-0051,Check that user can know that read or not ,,
Manual,Positive-Message ,TCMessage-0052,Try copy anything then paste on story text area,,
Manual,Positive-Message ,TCMessage-0053,Try Selecting All story text area,,
Manual,Positive-Message ,TCMessage-0054,Try Cutting anything From story text area,,
Manual,Positive-Message ,TCMessage-0055,Check Add story then make app in Background,,
Manual,Positive-Message ,TCMessage-0056,send message with mixed phootos from cam ,,
Manual,Positive-Message ,TCMessage-0057,send message with mixed phootos from  gallery ,,
Manual,Positive-Message ,TCMessage-0058,send message with mixed Videos from cam ,,
Manual,Positive-Message ,TCMessage-0059,send message with mixed Videos from  gallery ,,
Manual,Positive-Message ,TCMessage-0060,send message with mixed Videos & photos  from cam ,,
Manual,Positive-Message ,TCMessage-0061,send message with mixed Videos & photos  from gallery,,
Manual,Positive-Message ,TCMessage-0062,send message with Multiple photos  from cam ,,
Manual,Positive-Message ,TCMessage-0063,send message with Multiple photos  from cam ,,
Manual,Positive-Message ,TCMessage-0064,send message with Multiple Video from cam ,,
Manual,Positive-Message ,TCMessage-0065,send message with Multiple Video from  gallery ,,
Manual,Positive-Message ,TCMessage-0066,Edit The Selected photo from cam ,,
Manual,Positive-Message ,TCMessage-0067,Edit The Selected photo from gallery ,,
Manual,Positive-Message ,TCMessage-0068,Edit The Selected Video from  gallery ,,
Manual,Positive-Message ,TCMessage-0069,Edit The Selected Video from cam ,,
Manual,Positive-Message ,TCMessage-0070,Verify that send message Mixed videos from cam with mixed photos from Gallery ,,
Manual,Positive-Message ,TCMessage-0071,send message  with mixed Videos & photos  from cam ,,
Manual,Positive-Message ,TCMessage-0072,send message  with mixed Videos & photos  from gallery,,
Manual,Positive-Message ,TCMessage-0073,send message with Multiple photos  from cam ,,
Manual,Negative -Message ,TCMessage-0074,Verify thatsend message with image of unsupported Media type,,
Manual,Negative -Message ,TCMessage-0075,Verify thatsend message with image size exceeding maximum allowed size,,
Manual,Negative -Message ,TCMessage-0076,Verify that send message with size less than the allowed minimum size,,
Manual,Negative -Message ,TCMessage-0077,Verify that send message with larger dimension than permitted,,
Manual,Negative -Message ,TCMessage-0078,Verify that send message with smaller dimension than permitted,,
Manual,Negative -Message ,TCMessage-0079,Verify that send message with Video of unsupported Media type,,
Manual,Negative -Message ,TCMessage-0080,Verify that send message withVideo with size smaller than min size,,
Manual,Negative -Message ,TCMessage-0081,Verify thatsend message with Video with size Larger than Max size,,
Manual,Negative -Message ,TCMessage-0082,Check send message While Incoming Calls,,
Manual,Negative -Message ,TCMessage-0083,Check send message While Drop down Network,,
Manual,Negative -Message ,TCMessage-0084,Check send messageand make app paly in background then open it,,
Manual,Negative -Message ,TCMessage-0085,Check send message and make app paly in background then remove app from background,,
Manual,Negative -Message ,TCMessage-0086,Check send message While Incoming SMS,,
Manual,Negative -Message ,TCMessage-0087,send message  and battery is discharged or any other kind of interruption takes place,,
Manual,Negative -Message ,TCMessage-0088,send message  And While sending Press back then discard story ,,
Manual,Negative -Message ,TCMessage-0089,Try send message  Doc as PDF Format,,
Manual,Negative -Message ,TCMessage-0090,Verify  the image quality after upload while send message,,
Manual,Negative -Message ,TCMessage-0091,Verify  that blocked can't send message ,,
Manual,Negative -Message ,TCMessage-0092,Verify sending audio while network drop down ,,
Manual,Negative -Message ,TCMessage-0093,Verify sending audio while incomming calls,,
Manual,Negative -Message ,TCMessage-0094,Verify sending audio while incomming SMS,,
Manual,Negative -Message ,TCMessage-0095,Verify sending audio then deleting for everyone ,,
Manual,Negative -Message ,TCMessage-0096,Verify sending audio then unsend it ,,
Manual,Negative -Message ,TCMessage-0097,Verify sending audio then deleting for me ,,